stage,hard,mob_boss,Stage,name_difficulty_enemys_type_,,,,
enemy,4.86_2.209_7.040001,0.7_0.7_0.7,0_0_0,Untagged,3,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_0.1800027,0.7_0.7_0.7,0_0_0,Untagged,3,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_1.79,0.7_0.7_0.7,0_0_0,Untagged,3,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_0.110003,0.7_0.7_0.7,0_0_0,Untagged,3,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
wave,4,7,0.5,Wave,name_wave_max_interval_type_,,,
enemy,-7.13_2.209_-1.04,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_-0.599999,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_6.450002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_7.950002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_1.090002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_2.700002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_1.020002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_-1.039999,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_-0.599999,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_6.450002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_7.950002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_1.090002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_2.700002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.07_2.209_0.6200004,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_4.340002,0.7_0.7_0.7,0_0_0,Untagged,4,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
wave,5,7,0.5,Wave,name_wave_max_interval_type_,,,
enemy,4.86_2.209_7.7,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.129999_2.209_8.23,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_9.839999,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03000069_2.209_8.159999,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.129999_2.209_6.099999,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_6.54,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_13.59,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_15.09,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.129999_2.209_8.23,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_2.450001,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.07000065_2.209_2.810002,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03000069_2.209_6.530003,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_7.790001,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-5.51_2.209_7.790001,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_8.23,0.7_0.7_0.7,0_0_0,Untagged,5,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
wave,6,7,0.5,Wave,name_wave_max_interval_type_,,,
enemy,-7.13_2.209_13.01,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_12.38,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_12.66,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_14.16,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_14.14,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_12.55,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.07_2.209_13.65,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_16.15,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_14.09,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_14.3,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_14.37,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_18.23,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.619999_2.209_14.48,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.859999_2.209_15.2,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_12.87,0.7_0.7_0.7,0_0_0,Untagged,6,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
wave,7,7,0.5,Wave,name_wave_max_interval_type_,,,
enemy,-7.13_2.209_18.49,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_18.93,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_22.96,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_21.62,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_20.62,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_22.23,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.07_2.209_20.15,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_23.87,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_21.81,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,5.08_2.209_22.25,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.15_2.209_29.3,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.86_2.209_30.8,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,-7.13_2.209_23.94,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,4.62_2.209_22.63,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
enemy,0.03_2.209_20.28,0.7_0.7_0.7,0_0_0,Untagged,7,2,Enemy,name_position_scale_rotation_tag_wave_hp_type_
boss,0_2_32.49,1.7_1.7_1.7,0_0_0,Untagged,100,Boss,name_position_scale_rotation_tag_hp_type_,
